"typeName","type","value"
"CommodityCode","enumeratedString","NYMEX NB"
"CommodityCode","enumeratedString","NYMEX NG"
"CommodityCode","enumeratedString","NYMEX NW"
"CommodityCode","enumeratedString","NYMEX PA"
"CommodityCode","enumeratedString","NYMEX PC"
"CommodityCode","enumeratedString","NYMEX PL"
"CommodityCode","enumeratedString","NYMEX QL"
"CommodityCode","enumeratedString","NYMEX RB"
"CommodityCode","enumeratedString","NYMEX TT"
"CommodityCode","enumeratedString","NYMEX UX"
"CommodityCode","enumeratedString","NYMEX YO"
"CompoundingMethod","enumeratedString","Flat"
"CompoundingMethod","enumeratedString","None"
"CompoundingMethod","enumeratedString","SpreadExclusive"
"CompoundingMethod","enumeratedString","Straight"
"CountryCode","enumeratedString","AD"
"CountryCode","enumeratedString","AE"
"CountryCode","enumeratedString","AF"
"CountryCode","enumeratedString","AG"
"CountryCode","enumeratedString","AI"
"CountryCode","enumeratedString","AL"
"CountryCode","enumeratedString","AM"
"CountryCode","enumeratedString","AO"
"CountryCode","enumeratedString","AQ"
"CountryCode","enumeratedString","AR"
"CountryCode","enumeratedString","AS"
"CountryCode","enumeratedString","AT"
"CountryCode","enumeratedString","AU"
"CountryCode","enumeratedString","AW"
"CountryCode","enumeratedString","AX"
"CountryCode","enumeratedString","AZ"
"CountryCode","enumeratedString","BA"
"CountryCode","enumeratedString","BB"
"CountryCode","enumeratedString","BD"
"CountryCode","enumeratedString","BE"
"CountryCode","enumeratedString","BF"
"CountryCode","enumeratedString","BG"
"CountryCode","enumeratedString","BH"
"CountryCode","enumeratedString","BI"
"CountryCode","enumeratedString","BJ"
"CountryCode","enumeratedString","BL"
"CountryCode","enumeratedString","BM"
"CountryCode","enumeratedString","BN"
"CountryCode","enumeratedString","BO"
"CountryCode","enumeratedString","BQ"
"CountryCode","enumeratedString","BR"
"CountryCode","enumeratedString","BS"
"CountryCode","enumeratedString","BT"
"CountryCode","enumeratedString","BV"
"CountryCode","enumeratedString","BW"
"CountryCode","enumeratedString","BY"
"CountryCode","enumeratedString","BZ"
"CountryCode","enumeratedString","CA"
"CountryCode","enumeratedString","CC"
"CountryCode","enumeratedString","CD"
"CountryCode","enumeratedString","CF"
"CountryCode","enumeratedString","CG"
"CountryCode","enumeratedString","CH"
"CountryCode","enumeratedString","CI"
"CountryCode","enumeratedString","CK"
"CountryCode","enumeratedString","CL"
"CountryCode","enumeratedString","CM"
"CountryCode","enumeratedString","CN"
"CountryCode","enumeratedString","CO"
"CountryCode","enumeratedString","CR"
"CountryCode","enumeratedString","CU"
"CountryCode","enumeratedString","CV"
"CountryCode","enumeratedString","CW"
"CountryCode","enumeratedString","CX"
"CountryCode","enumeratedString","CY"
"CountryCode","enumeratedString","CZ"
"CountryCode","enumeratedString","DE"
"CountryCode","enumeratedString","DJ"
"CountryCode","enumeratedString","DK"
"CountryCode","enumeratedString","DM"
"CountryCode","enumeratedString","DO"
"CountryCode","enumeratedString","DZ"
"CountryCode","enumeratedString","EC"
"CountryCode","enumeratedString","EE"
"CountryCode","enumeratedString","EG"
"CountryCode","enumeratedString","EH"
"CountryCode","enumeratedString","ER"
"CountryCode","enumeratedString","ES"
"CountryCode","enumeratedString","ET"
"CountryCode","enumeratedString","FI"
"CountryCode","enumeratedString","FJ"
"CountryCode","enumeratedString","FK"
"CountryCode","enumeratedString","FM"
"CountryCode","enumeratedString","FO"
"CountryCode","enumeratedString","FR"
"CountryCode","enumeratedString","GA"
"CountryCode","enumeratedString","GB"
"CountryCode","enumeratedString","GD"
"CountryCode","enumeratedString","GE"
"CountryCode","enumeratedString","GF"
"CountryCode","enumeratedString","GG"
"CountryCode","enumeratedString","GH"
"CountryCode","enumeratedString","GI"
"CountryCode","enumeratedString","GL"
"CountryCode","enumeratedString","GM"
"CountryCode","enumeratedString","GN"
"CountryCode","enumeratedString","GP"
"CountryCode","enumeratedString","GQ"
"CountryCode","enumeratedString","GR"
"CountryCode","enumeratedString","GS"
"CountryCode","enumeratedString","GT"
"CountryCode","enumeratedString","GU"
"CountryCode","enumeratedString","GW"
"CountryCode","enumeratedString","GY"
"CountryCode","enumeratedString","HK"
"CountryCode","enumeratedString","HM"
"CountryCode","enumeratedString","HN"
"CountryCode","enumeratedString","HR"
"CountryCode","enumeratedString","HT"
"CountryCode","enumeratedString","HU"
"CountryCode","enumeratedString","ID"
"CountryCode","enumeratedString","IE"
"CountryCode","enumeratedString","IL"
"CountryCode","enumeratedString","IM"
"CountryCode","enumeratedString","IN"
"CountryCode","enumeratedString","IO"
"CountryCode","enumeratedString","IQ"
"CountryCode","enumeratedString","IR"
"CountryCode","enumeratedString","IS"
"CountryCode","enumeratedString","IT"
"CountryCode","enumeratedString","JE"
"CountryCode","enumeratedString","JM"
"CountryCode","enumeratedString","JO"
"CountryCode","enumeratedString","JP"
"CountryCode","enumeratedString","KE"
"CountryCode","enumeratedString","KG"
"CountryCode","enumeratedString","KH"
"CountryCode","enumeratedString","KI"
"CountryCode","enumeratedString","KM"
"CountryCode","enumeratedString","KN"
"CountryCode","enumeratedString","KP"
"CountryCode","enumeratedString","KR"
"CountryCode","enumeratedString","KW"
"CountryCode","enumeratedString","KY"
"CountryCode","enumeratedString","KZ"
"CountryCode","enumeratedString","LA"
"CountryCode","enumeratedString","LB"
"CountryCode","enumeratedString","LC"
"CountryCode","enumeratedString","LI"
"CountryCode","enumeratedString","LK"
"CountryCode","enumeratedString","LR"
"CountryCode","enumeratedString","LS"
